ID,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0
1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0
2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1
3,3,4,4,4,4,4,3,3,4,5,5,5,4,2,2,4,5,5,5,4,2,2
4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2
5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,7,5,5,6,6,6,5,5,6,6,7,7,6,6,6,7,7,7,7,7,6,6
8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,9,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
13,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,14,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
17,17,7,9,10,10,9,6,6,9,11,11,11,9,5,5,9,11,12,11,8,5,5
18,18,4,5,6,6,5,4,4,5,6,7,6,5,3,3,5,7,7,6,5,3,3
19,19,2,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2
20,20,2,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2
21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0
23,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
