ID,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
0,3,1,3,4,3,2,2,1,3,1,2,2,1,2,2,1,1,2,2,1,1
1,2,3,2,2,2,2,2,1,2,2,3,3,2,2,3,4,3,2,4,3,3
2,3,3,4,6,4,5,5,4,2,3,2,6,4,4,3,5,2,4,2,3,3
3,10,10,2,12,15,12,10,6,16,14,8,9,14,5,13,12,10,11,7,15,15
4,2,5,2,8,6,8,5,4,5,3,10,2,9,8,6,2,4,8,6,5,3
5,2,3,5,1,3,2,3,2,2,1,3,2,3,4,3,2,6,3,6,4,4
6,3,4,4,4,4,7,4,2,7,4,2,3,3,4,3,5,1,4,1,4,2
7,5,11,15,13,16,17,17,17,32,14,21,18,43,5,29,10,44,36,15,50,18
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,5,26,19,20,16,24,14,15,10,27,17,16,23,24,13,18,13,21,11,9,8
10,0,0,0,0,0,1,0,1,1,1,1,0,2,2,1,0,0,1,1,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
12,0,1,2,1,1,0,1,1,1,0,1,1,1,2,1,1,1,0,0,1,1
13,2,1,0,5,0,1,2,2,1,1,1,3,2,1,2,2,1,2,2,1,1
14,7,7,7,9,8,9,8,7,7,7,8,7,7,7,9,6,7,8,6,7,7
15,4,5,4,4,5,4,6,5,5,4,5,4,6,5,5,4,5,6,5,5,4
16,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1
17,21,10,9,17,11,12,6,7,20,14,3,16,12,17,14,12,13,25,22,17,5
18,1,14,32,27,43,21,32,25,47,30,43,30,41,36,27,42,54,39,32,39,33
19,6,4,0,2,6,8,10,5,7,11,12,12,4,8,11,15,17,17,10,12,8
20,2,2,2,3,1,3,1,3,4,3,4,5,4,3,6,4,5,8,5,5,4
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,3,3,2
23,2,1,3,2,3,4,2,3,1,1,1,1,1,1,0,5,3,1,2,1,3
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1,0,1,2,1,0,1,0,0,2,1,0,2,2,0,1,2,1,0,0,2
27,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1
28,2,1,2,1,2,1,1,2,1,2,2,1,3,3,3,2,4,3,4,2,3
29,1,4,4,4,3,4,3,4,2,3,5,7,4,5,3,5,5,6,4,3,6
30,6,5,3,4,2,4,2,3,2,4,6,2,4,4,5,5,5,4,4,3,5
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,8,13,11,12,14,12,13,14,13,15,11,11,9,10,12,12,13,13,11,10,10
33,0,1,1,1,1,1,1,1,0,0,1,1,1,2,1,1,1,2,2,1,1
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
35,4,9,10,6,12,12,13,14,7,7,8,9,13,13,11,9,12,11,7,14,11
36,19,17,15,17,25,8,9,8,11,9,18,6,17,16,11,23,18,18,22,14,11
37,0,0,1,0,1,0,0,0,1,1,2,0,0,0,1,0,1,1,1,0,1
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,25,74,44,45,204,50,122,116,61,73,100,266,143,166,158,168,216,102,188,182,105
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,11,7,3,7,19,12,9,5,14,12,11,14,11,5,3,0,0,2,0,2,8
43,2,14,13,17,11,4,6,4,1,3,5,2,15,0,2,9,1,2,2,0,4
44,16,11,9,7,7,16,6,8,10,10,12,11,18,13,8,0,9,7,6,8,8
45,2,2,2,3,2,2,2,3,3,3,2,3,3,2,3,2,2,2,2,3,2
46,1,1,4,1,1,1,1,2,1,2,2,2,1,3,2,2,2,2,2,0,2
47,31,22,24,54,34,23,34,24,47,22,26,24,18,21,43,24,20,24,26,34,17
48,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
49,2,3,1,2,2,5,4,4,4,4,2,1,4,4,4,5,4,6,3,6,7
50,5,5,5,5,6,5,6,5,5,5,6,5,5,6,6,7,7,7,7,6,6
51,14,23,14,17,16,19,14,14,14,14,14,15,14,14,15,14,14,14,14,16,18
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,5,2,0,1,2,4,3,2,2,2,5,4,4,2,2,1,1,2,3,4,5
54,15,15,15,16,15,16,15,15,15,15,15,15,15,16,16,16,15,15,15,15,15
55,6,8,6,4,5,5,14,8,7,6,16,8,12,6,5,6,5,9,6,9,6
