ID,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
0,1,0,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,2,1,1,2,2,1,1,2,1,1,1,1,0,1,0,0,1,1,1,2
3,4,3,4,3,4,4,4,5,4,5,4,4,5,4,4,6,3,4,5,5,4
4,1,2,1,2,4,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2
5,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2,2,2,2,2,1
6,1,0,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1
7,2,6,5,9,8,6,2,5,5,7,8,10,10,7,5,6,6,4,9,7,7
8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,6,13,9,11,14,12,10,10,6,18,9,8,11,5,11,9,8,12,8,8,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1
14,5,4,5,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4
15,3,3,3,3,3,3,2,2,2,2,3,3,3,2,3,2,3,3,2,3,3
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,8,5,5,4,5,2,7,8,3,4,7,5,7,9,8,9,9,7,5,6
18,1,7,15,14,15,11,11,12,15,20,18,16,11,8,6,19,14,14,12,12,13
19,2,1,2,4,4,3,4,4,2,6,4,5,5,5,4,6,7,7,5,3,4
