ID,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1
3,3,3,2,4,5,4,3,3,5,5,3,4,5,3,4,4,4,4,4,5,5
4,1,2,2,3,2,3,3,2,2,2,4,2,3,2,3,1,3,3,4,3,2
5,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2
6,0,1,1,1,1,2,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1
7,4,6,6,7,10,9,8,9,13,9,8,12,16,3,10,13,16,11,7,18,9
8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
9,2,12,9,10,8,12,7,6,4,14,8,7,12,9,8,8,5,10,7,4,4
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0
14,6,5,5,5,4,6,4,5,5,5,5,5,4,5,5,4,4,4,5,4,5
15,3,4,3,3,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,3
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7,6,5,7,4,5,3,4,7,4,3,5,7,7,4,5,6,9,10,6,5
18,2,8,13,12,14,9,10,10,16,14,16,13,16,12,12,15,19,14,12,15,13
19,3,2,1,2,4,3,5,3,3,5,5,4,2,4,6,7,7,7,6,5,3
20,0,1,0,1,1,1,0,2,1,1,2,2,1,1,2,1,2,3,2,2,2
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
23,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,2,2,1,2,1,2
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
29,0,2,1,2,1,1,2,1,1,2,2,3,2,2,1,2,3,2,2,1,3
30,2,2,2,2,2,2,2,3,2,3,2,2,2,2,5,4,4,3,3,3,3
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,7,9,8,7,8,8,8,9,9,9,8,8,8,8,8,9,9,9,10,8,8
33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
