ID,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
0,3,2,3,3,3,3,2,3,3,3,2,3,2,3,3,2,2,3,2,1,2
1,4,3,1,2,2,2,3,2,2,2,2,3,2,2,2,2,4,2,4,3,3
2,2,8,3,3,6,6,4,3,6,3,2,3,3,2,2,1,2,5,4,3,5
3,12,10,11,10,9,12,10,15,12,15,10,10,15,14,12,16,6,15,13,13,8
4,5,5,4,6,7,5,7,2,5,5,4,6,8,7,7,8,4,8,7,5,3
5,0,1,2,3,2,2,0,3,3,2,1,2,2,1,4,4,6,7,5,5,3
6,3,1,4,2,2,5,4,6,2,4,3,6,2,4,3,6,1,2,3,4,2
7,5,13,15,21,18,18,8,19,18,10,12,17,18,27,16,13,20,11,20,14,11
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,15,29,17,25,31,26,22,19,13,38,19,20,19,11,29,15,18,25,18,18,20
10,1,0,1,1,1,2,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0
11,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
12,0,2,1,1,0,1,0,1,1,0,1,1,1,1,2,1,1,1,1,1,1
13,2,1,2,2,2,1,1,1,0,1,3,2,2,3,2,2,2,2,1,2,2
14,9,7,7,8,8,8,7,8,9,9,7,10,6,8,6,8,8,7,7,8,6
15,5,4,4,5,6,5,4,4,4,5,4,6,5,4,4,5,5,6,4,5,6
16,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1
17,16,14,15,14,9,7,0,18,17,6,10,16,10,16,25,15,26,15,15,12,11
18,3,11,38,33,39,26,30,32,45,54,54,43,27,23,15,52,29,32,39,20,27
19,4,2,3,11,8,11,4,8,3,11,10,14,11,13,9,11,17,18,14,9,9
20,2,1,5,4,10,1,1,3,5,7,1,7,4,3,6,4,5,9,3,5,4
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2
23,0,1,2,3,3,2,1,2,0,0,0,0,1,0,0,1,2,3,2,2,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1,2,1,1,1,1,2,0,0,2,0,2,1,2,2,2,1,1,1,0,2
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,0,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,3,2,2
29,2,2,4,3,2,2,3,6,2,4,5,7,4,4,2,4,5,5,5,5,5
30,4,4,3,6,3,4,6,4,2,4,3,5,4,5,3,3,5,3,4,2,5
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9,11,10,13,11,10,12,12,11,11,13,8,6,13,10,13,13,13,13,11,13
33,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2
34,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
35,8,7,10,8,12,8,13,11,8,9,11,11,12,8,12,8,6,9,12,12,16
36,11,17,12,12,21,17,12,14,10,17,20,9,14,16,15,12,15,17,13,15,15
37,2,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,91,42,81,94,62,73,78,191,233,174,95,47,181,244,222,137,200,231,174,94,230
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,20,6,13,16,3,6,9,13,2,0,18,9,17,5,1,8,9,5,3,5
43,3,9,14,1,7,5,0,4,3,6,13,4,9,8,15,6,1,5,8,9,13
44,9,7,15,9,18,7,10,6,2,6,14,6,10,20,17,0,14,11,13,14,4
45,2,2,2,2,3,2,2,3,3,2,2,2,3,3,3,2,3,3,3,2,3
46,3,4,3,2,1,3,2,3,2,3,1,4,3,4,3,4,2,4,2,1,2
47,40,64,44,72,40,38,46,19,68,63,54,57,45,25,36,39,58,59,52,82,67
48,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0
49,3,3,3,3,1,2,4,3,4,6,3,2,7,2,3,5,4,5,5,4,4
50,5,5,6,5,6,5,7,5,6,6,6,6,6,6,7,7,7,6,6,7,6
51,14,17,26,19,15,21,14,14,14,14,14,14,14,14,14,15,14,14,15,14,16
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,4,1,2,2,1,1,1,1,2,4,5,6,2,3,3,2,4,3,3,4
54,15,15,16,17,15,15,15,15,16,15,15,15,16,16,15,15,15,15,15,15,15
55,4,5,3,5,5,6,7,5,5,6,5,5,3,2,3,5,8,10,7,4,3
56,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1
57,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,2,1,1,1,1,2,0,2,2,2,3,2,1,1,1,2,1,1,3,2
61,1,1,1,1,0,3,1,0,1,1,1,1,1,1,0,1,1,1,2,1,1
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,1,0,0,1,1,0,0,0,1,2,1,0,1,2,0,1,2,0
66,4,2,3,4,3,5,4,4,3,4,2,3,1,3,3,5,2,3,2,5,4
67,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,2,2,2
68,6,4,4,5,3,4,4,5,8,8,9,4,5,3,4,6,7,7,4,5,6
69,1,1,0,1,1,1,0,1,1,1,1,1,2,3,2,1,1,2,2,2,1
70,2,1,1,1,2,1,2,3,1,3,2,2,2,2,3,1,2,2,3,2,3
71,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,9,10,6,14,9,8,7,8,5,10,9,16,16,5,7,7,12,9,12,7,16
77,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,4,5,4
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,10,14,10,11,10,12,10,12,15,18,13,13,14,11,14,12,13,12,14,15,16
83,4,5,3,10,4,2,2,8,5,13,6,4,7,3,1,3,1,4,1,14,4
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,3
98,1,23,12,10,12,12,5,6,1,1,21,7,6,5,1,8,5,5,7,7,0
99,1,2,1,1,2,3,4,3,1,1,2,2,1,1,2,3,2,2,3,2,3
100,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1
101,1,16,18,24,13,46,20,26,26,47,24,36,14,25,40,29,32,27,26,48,41
102,9,14,11,17,13,12,11,9,13,8,17,12,11,17,9,16,12,19,25,20,16
103,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
104,2,1,4,6,2,3,4,1,1,4,2,3,3,4,1,1,1,0,1,1,0
105,2,2,1,1,1,1,3,1,1,2,2,1,1,1,3,1,3,0,3,2,2
106,2,0,2,2,2,1,4,4,3,2,4,2,4,2,2,4,3,3,2,2,1
107,2,2,2,2,2,2,2,3,3,1,2,2,2,2,1,2,3,3,2,2,3
108,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
109,0,0,1,0,0,1,0,2,1,0,0,1,0,1,1,0,2,1,1,1,1
110,54,45,44,32,37,51,53,24,35,46,28,35,44,33,50,38,47,32,42,42,40
111,7,7,6,9,7,8,6,7,6,5,5,9,7,6,5,6,5,5,4,5,6
112,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3
113,4,3,3,5,7,2,2,5,6,3,2,5,5,7,8,3,2,4,2,6,4
114,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,3,3,2,2,2
115,4,2,3,2,3,2,4,1,2,4,3,5,4,3,6,3,3,3,4,5,4
116,7,4,5,4,6,4,10,12,9,7,6,8,10,2,2,8,8,3,10,7,7
117,28,27,27,27,27,27,27,28,29,28,27,28,28,27,27,27,29,27,27,27,29
118,3,2,5,4,4,4,4,5,5,6,2,3,4,2,2,4,3,4,3,5,5
119,12,13,13,14,12,12,11,14,12,13,12,12,13,12,11,11,12,12,11,12,11
120,12,12,13,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12
121,2,1,1,3,2,3,3,1,1,2,2,4,4,5,3,6,4,6,5,6,9
122,2,2,3,2,3,3,2,3,3,3,3,3,2,4,3,4,4,4,4,3,3
123,4,5,4,4,4,4,5,3,5,3,3,4,4,5,4,4,5,4,4,4,4
124,12,8,8,9,8,8,9,9,8,8,9,9,9,11,10,8,9,8,8,9,8
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
128,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
129,1,1,2,1,2,2,1,1,0,2,2,2,1,1,1,1,1,2,2,2,1
130,2,1,1,3,1,2,2,1,2,3,1,1,4,3,4,3,3,1,2,1,4
