ID,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
0,0,0,0,2,1,2,1,1,0,1,1,1,1,0,2,1,1,1,1,1,1
1,0,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1
2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
3,1,2,3,3,3,2,3,4,3,4,3,3,3,1,2,2,3,3,2,2,3
4,0,2,0,2,4,3,1,3,1,1,2,4,3,0,1,2,4,2,3,3,1
5,0,1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,2,2,1
6,0,1,1,1,2,1,1,2,2,3,1,2,1,1,2,1,2,2,2,1,2
7,0,4,2,2,4,5,1,2,5,4,4,4,7,2,3,2,4,2,6,7,5
8,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
9,0,3,4,3,5,9,4,6,6,10,5,6,11,0,5,6,9,8,6,9,4
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
14,6,4,3,3,2,3,2,3,2,1,2,2,2,2,3,2,1,1,2,2,2
15,4,3,2,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1
16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
17,6,10,5,2,6,6,4,5,8,3,3,10,9,6,7,4,9,11,6,4,7
18,2,9,10,13,11,12,11,11,11,14,10,11,7,5,10,9,7,10,11,10,10
19,3,1,5,2,6,0,6,4,5,8,1,3,3,2,4,6,4,3,5,4,6
20,0,1,1,2,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
23,1,1,2,1,2,2,2,2,3,2,2,0,2,1,1,1,2,2,2,2,3
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0
